Hostname,MGMT_IP,SN,Model,Software_Verion,CPU_Usage,MEM_Total,MEM_Usage,MEM_Free,FAN,TEMPERATURE,Power
DLC_DASHA_B05_3560B,10.10.85.5,FDO1443X2XP,WS-C3560V2-48TS-S,12.2(50)SE1,7%,85443596,17351632,68091964,OK,OK,Good
DLC_DASHA_B05_2960,10.10.85.7,FOC2009S5M2,WS-C2960X-48TS-LL,15.2(2)E5,35%,144980644,35485476,109495168,OK,N/A,Good
DLC_DASHA_B05_3560A,10.10.85.4,FDO1507V07Z,WS-C3560V2-48TS-S,12.2(50)SE1,11%,85443596,17850612,67592984,OK,OK,Good
DLC_JC_0105_3750H,10.10.84.5,FDO1552X13B,WS-C3750V2-48TS-S,12.2(50)SE5,92%,78245004,34557748,43687256,OK,OK,Good
DLC_DASHA_B05_2821B,10.10.85.3,N/A,N/A,15.0(1)M5,17%,455155360,26160864,428994496,N/A,N/A,N/A
DLC_DASHA_B05_2821A,10.10.85.2,N/A,N/A,15.0(1)M5,8%,455178144,25535572,429642572,N/A,N/A,N/A
DLC_DASHA_VIDEO_B05_2821,10.10.83.6,N/A,N/A,15.0(1)M5,1%,455134144,22159728,432974416,N/A,N/A,N/A
DLC_JC_0105_3750G,10.10.83.1,FDO1509X11S,WS-C3750G-12S-S,12.2(55)SE,11%,68421980,35710208,32711772,OK,OK,Good
DLC_JC_VIDEO_0105_2821,N/A,N/A,N/A,15.0(1)M5,0%,455154496,22063576,433090920,N/A,N/A,N/A
DLC_JC_0105_3560E,10.10.84.3,FDO1649Y1ZD,WS-C3560V2-48TS-S,12.2(55)SE5,7%,78231664,18892816,59338848,OK,OK,Good
DLC_JC_0105_3845B,N/A,N/A,N/A,15.0(1)M4,3%,425386844,26133128,399253716,N/A,N/A,N/A
DLC_JC_0105_3560D,10.10.84.2,FDO1701Y1KF,WS-C3560V2-24TS-S,12.2(55)SE5,7%,78231664,18198196,60033468,OK,OK,Good
DLC_JC_0105_3560F,10.10.84.4,FDO1649Y1W9,WS-C3560V2-48TS-S,12.2(50)SE5,16%,85273564,17209228,68064336,OK,OK,Good
DLC_JC_0105_3845A,N/A,N/A,N/A,15.0(1)M4,3%,425381308,26216684,399164624,N/A,N/A,N/A
DLC_JC_0105_3560C,10.10.83.4,FDO1510V0QR,WS-C3560V2-48TS-S,12.2(50)SE5,7%,85273564,17239924,68033640,OK,OK,Good
DLC_JC_0105_3560B,10.10.83.3,FDO1507V07X,WS-C3560V2-48TS-S,12.2(50)SE1,30%,85443596,17230416,68213180,OK,OK,Good
DLC_JC_0105_3560A,10.10.83.2,FDO1507V095,WS-C3560V2-48TS-S,12.2(50)SE1,6%,85443596,17228664,68214932,OK,OK,Good
